Id,LotFrontage,LotArea,BldgType,OverallQual,YearBuilt,YearRemodAdd,Foundation,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageCars,GarageArea,GarageQual,MiscFeature,MoSold,YrSold,SalePrice
1,65,8450,1Fam,7,2003,2003,PConc,856,GasA,Ex,Y,856,854,1710,2,1,3,1,Gd,8,0,NA,2003,2,548,TA,NA,2,2008,208500
2,80,9600,1Fam,6,1976,1976,CBlock,1262,GasA,Ex,Y,1262,0,1262,2,0,3,1,TA,6,1,TA,1976,2,460,TA,NA,5,2007,181500
3,68,11250,1Fam,7,2001,2002,PConc,920,GasA,Ex,Y,920,866,1786,2,1,3,1,Gd,6,1,TA,2001,2,608,TA,NA,9,2008,223500
4,60,9550,1Fam,7,1915,1970,BrkTil,756,GasA,Gd,Y,961,756,1717,1,0,3,1,Gd,7,1,Gd,1998,3,642,TA,NA,2,2006,140000
5,84,14260,1Fam,8,2000,2000,PConc,1145,GasA,Ex,Y,1145,1053,2198,2,1,4,1,Gd,9,1,TA,2000,3,836,TA,NA,12,2008,250000
6,85,14115,1Fam,5,1993,1995,Wood,796,GasA,Ex,Y,796,566,1362,1,1,1,1,TA,5,0,NA,1993,2,480,TA,Shed,10,2009,143000
7,75,10084,1Fam,8,2004,2005,PConc,1686,GasA,Ex,Y,1694,0,1694,2,0,3,1,Gd,7,1,Gd,2004,2,636,TA,NA,8,2007,307000
8,NA,10382,1Fam,7,1973,1973,CBlock,1107,GasA,Ex,Y,1107,983,2090,2,1,3,1,TA,7,2,TA,1973,2,484,TA,Shed,11,2009,200000
9,51,6120,1Fam,7,1931,1950,BrkTil,952,GasA,Gd,Y,1022,752,1774,2,0,2,2,TA,8,2,TA,1931,2,468,Fa,NA,4,2008,129900
10,50,7420,2fmCon,5,1939,1950,BrkTil,991,GasA,Ex,Y,1077,0,1077,1,0,2,2,TA,5,2,TA,1939,1,205,Gd,NA,1,2008,118000
11,70,11200,1Fam,5,1965,1965,CBlock,1040,GasA,Ex,Y,1040,0,1040,1,0,3,1,TA,5,0,NA,1965,1,384,TA,NA,2,2008,129500
12,85,11924,1Fam,9,2005,2006,PConc,1175,GasA,Ex,Y,1182,1142,2324,3,0,4,1,Ex,11,2,Gd,2005,3,736,TA,NA,7,2006,345000
13,NA,12968,1Fam,5,1962,1962,CBlock,912,GasA,TA,Y,912,0,912,1,0,2,1,TA,4,0,NA,1962,1,352,TA,NA,9,2008,144000
14,91,10652,1Fam,7,2006,2007,PConc,1494,GasA,Ex,Y,1494,0,1494,2,0,3,1,Gd,7,1,Gd,2006,3,840,TA,NA,8,2007,279500
15,NA,10920,1Fam,6,1960,1960,CBlock,1253,GasA,TA,Y,1253,0,1253,1,1,2,1,TA,5,1,Fa,1960,1,352,TA,NA,5,2008,157000
16,51,6120,1Fam,7,1929,2001,BrkTil,832,GasA,Ex,Y,854,0,854,1,0,2,1,TA,5,0,NA,1991,2,576,TA,NA,7,2007,132000
17,NA,11241,1Fam,6,1970,1970,CBlock,1004,GasA,Ex,Y,1004,0,1004,1,0,2,1,TA,5,1,TA,1970,2,480,TA,Shed,3,2010,149000
18,72,10791,Duplex,4,1967,1967,Slab,0,GasA,TA,Y,1296,0,1296,2,0,2,2,TA,6,0,NA,1967,2,516,TA,Shed,10,2006,90000
19,66,13695,1Fam,5,2004,2004,PConc,1114,GasA,Ex,Y,1114,0,1114,1,1,3,1,Gd,6,0,NA,2004,2,576,TA,NA,6,2008,159000
20,70,7560,1Fam,5,1958,1965,CBlock,1029,GasA,TA,Y,1339,0,1339,1,0,3,1,TA,6,0,NA,1958,1,294,TA,NA,5,2009,139000
21,101,14215,1Fam,8,2005,2006,PConc,1158,GasA,Ex,Y,1158,1218,2376,3,1,4,1,Gd,9,1,Gd,2005,3,853,TA,NA,11,2006,325300
22,57,7449,1Fam,7,1930,1950,PConc,637,GasA,Ex,Y,1108,0,1108,1,0,3,1,Gd,6,1,Gd,1930,1,280,TA,NA,6,2007,139400
23,75,9742,1Fam,8,2002,2002,PConc,1777,GasA,Ex,Y,1795,0,1795,2,0,3,1,Gd,7,1,Gd,2002,2,534,TA,NA,9,2008,230000
24,44,4224,TwnhsE,5,1976,1976,PConc,1040,GasA,TA,Y,1060,0,1060,1,0,3,1,TA,6,1,TA,1976,2,572,TA,NA,6,2007,129900
25,NA,8246,1Fam,5,1968,2001,CBlock,1060,GasA,Ex,Y,1060,0,1060,1,0,3,1,Gd,6,1,TA,1968,1,270,TA,NA,5,2010,154000
26,110,14230,1Fam,8,2007,2007,PConc,1566,GasA,Ex,Y,1600,0,1600,2,0,3,1,Gd,7,1,Gd,2007,3,890,TA,NA,7,2009,256300
27,60,7200,1Fam,5,1951,2000,CBlock,900,GasA,TA,Y,900,0,900,1,0,3,1,Gd,5,0,NA,2005,2,576,TA,NA,5,2010,134800
28,98,11478,1Fam,8,2007,2008,PConc,1704,GasA,Ex,Y,1704,0,1704,2,0,3,1,Gd,7,1,Gd,2008,3,772,TA,NA,5,2010,306000
29,47,16321,1Fam,5,1957,1997,CBlock,1484,GasA,TA,Y,1600,0,1600,1,0,2,1,TA,6,2,Gd,1957,1,319,TA,NA,12,2006,207500
30,60,6324,1Fam,4,1927,1950,BrkTil,520,GasA,Fa,N,520,0,520,1,0,1,1,Fa,4,0,NA,1920,1,240,Fa,NA,5,2008,68500
31,50,8500,1Fam,4,1920,1950,BrkTil,649,GasA,TA,N,649,668,1317,1,0,3,1,TA,6,0,NA,1920,1,250,TA,NA,7,2008,40000
32,NA,8544,1Fam,5,1966,2006,CBlock,1228,GasA,Gd,Y,1228,0,1228,1,1,3,1,Gd,6,0,NA,1966,1,271,TA,NA,6,2008,149350
